date,type,category,vendor,description,amount_thb,amount_usd,currency,source_file,notes
2026-02-22,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Espresso/S,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,expense,Other,,IG Ads,-3500.0,-109.38,THB,expenses_2025.csv,marketing
2026-02-23,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-4130.0,-129.06,THB,supplier_invoices.csv,inv INV1052
2026-02-25,expense,Dairy & Pastry,,Bangkok Dairy Co.,-4500.0,-140.62,THB,expenses_2025.csv,
2026-02-25,expense,Other,GreenLeaf Pastry,Mixed pastries,-4200.0,-131.25,THB,supplier_invoices.csv,inv INV1053
2026-03-01,expense,Payroll,,Payroll — Pim (s001),-20500.0,-640.62,THB,staff_payroll.csv,
2026-03-01,expense,Payroll,,Payroll — Niran (s002),-19000.0,-593.75,THB,staff_payroll.csv,
2026-03-01,expense,Payroll,,Payroll — Maya (s003),-20500.0,-640.62,THB,staff_payroll.csv,cash extra ฿2500 (เงินสด)
2026-03-01,expense,Payroll,,Payroll — Boom (s004),-18500.0,-578.12,THB,staff_payroll.csv,
2026-03-02,expense,Coffee Beans,Doi Chaang Coffee,Doi Chaang Coffee,-6800.0,-212.5,THB,expenses_2025.csv,10kg
2026-03-02,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3640.0,-113.75,THB,supplier_invoices.csv,inv INV1054
2026-03-04,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Americano,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-04,expense,Other,GreenLeaf Pastry,Mixed pastries,-3480.0,-108.75,THB,supplier_invoices.csv,inv INV1055
2026-03-05,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,income,Sales,,Americano/L,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-05,expense,Dairy & Pastry,,GreenLeaf Pastry,-4800.0,-150.0,THB,expenses_2025.csv,
2026-03-05,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5440.0,-170.0,THB,supplier_invoices.csv,inv INV1056
2026-03-05,expense,Rent & Utilities,NK Property,Monthly rent,-45000,-1406.25,THB,rent_utilities.txt,
2026-03-08,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Latte,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-08,expense,Dairy & Pastry,,Bangkok Dairy Co.,-4500.0,-140.62,THB,expenses_2025.csv,
2026-03-09,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-4060.0,-126.88,THB,supplier_invoices.csv,inv INV1057
2026-03-11,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Cinnamon Roll,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-03-11,expense,Other,GreenLeaf Pastry,Mixed pastries,-3960.0,-123.75,THB,supplier_invoices.csv,inv INV1058
2026-03-12,expense,Other,,Equipment service - espresso machine,-4200.0,-131.25,THB,expenses_2025.csv,
2026-03-15,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Americano/L,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-15,expense,Coffee Beans,Doi Chaang Coffee,Doi Chaang Coffee,-6800.0,-212.5,THB,expenses_2025.csv,10kg
2026-03-15,expense,Rent & Utilities,,Electricity,-9100,-284.38,THB,rent_utilities.txt,
2026-03-15,expense,Rent & Utilities,,Water,-800,-25.0,THB,rent_utilities.txt,avg
2026-03-15,expense,Rent & Utilities,TOT,Internet,-1290,-40.31,THB,rent_utilities.txt,
2026-03-16,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3780.0,-118.12,THB,supplier_invoices.csv,inv INV1059
2026-03-18,income,Sales,,Latte/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Cold Brew/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-18,expense,Other,,Marketing - flyer print,-2200.0,-68.75,THB,expenses_2025.csv,branch 2 announcement
2026-03-18,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5440.0,-170.0,THB,supplier_invoices.csv,inv INV1060
2026-03-18,expense,Other,GreenLeaf Pastry,Mixed pastries,-3240.0,-101.25,THB,supplier_invoices.csv,inv INV1061
2026-03-21,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-21,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-23,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3290.0,-102.81,THB,supplier_invoices.csv,inv INV1062
2026-03-25,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Mocha/M,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Espresso/S,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-25,expense,Dairy & Pastry,,Bangkok Dairy Co.,-4500.0,-140.62,THB,expenses_2025.csv,
2026-03-25,expense,Other,GreenLeaf Pastry,Mixed pastries,-4260.0,-133.12,THB,supplier_invoices.csv,inv INV1063
2026-03-27,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Cinnamon Roll,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Americano/L,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Iced Latte,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Cinnamon Roll,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-03-27,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-28,expense,Other,,Cleaning Plus,-1850.0,-57.81,THB,expenses_2025.csv,
2026-03-30,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Mocha/M,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Latte/L,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-03-30,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3360.0,-105.0,THB,supplier_invoices.csv,inv INV1064
